player_id,player_name,position,team,season,age_sept1,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,ppr_points,scrimmage_yards
00-0035013,J.Hilliman,RB,NYG,2019,23.8,3,0,0,0,0,0,30,91,0,4,3,1,0,8.200000000000001,92
00-0035021,A.Dulin,WR,IND,2019,22.3,8,0,0,0,0,0,0,0,0,2,2,17,0,3.6999999999999997,17
00-0035021,A.Dulin,WR,IND,2020,23.3,10,0,0,0,0,0,2,11,0,6,3,53,0,9.4,64
00-0035021,A.Dulin,WR,IND,2021,24.3,16,0,0,0,0,0,3,32,0,22,13,173,2,45.5,205
00-0035021,A.Dulin,WR,IND,2022,25.3,10,0,0,0,0,0,2,8,0,22,15,207,1,42.5,215
00-0035021,A.Dulin,WR,IND,2024,27.3,13,0,0,0,0,0,5,45,0,8,2,67,1,19.2,112
00-0035021,A.Dulin,WR,IND,2025,28.3,12,0,0,0,0,0,3,44,0,10,5,106,0,20.0,150
00-0035022,P.Hart,WR,SEA,2020,24.16,5,0,0,0,0,0,1,19,0,1,1,3,0,3.2,22
00-0035022,P.Hart,WR,SEA,2021,25.16,11,0,0,0,0,0,0,0,0,12,7,59,0,12.9,59
00-0035022,P.Hart,WR,SEA,2022,26.16,4,0,0,0,0,0,0,0,0,4,3,20,0,5.0,20
00-0035025,H.Hentges,TE,WAS,2019,23.04,5,0,0,0,0,0,0,0,0,14,8,103,1,24.3,103
00-0035039,S.Carlson,TE,CLE,2019,22.72,6,0,0,0,0,0,0,0,0,7,5,51,1,16.1,51
00-0035039,S.Carlson,TE,CLE,2020,23.72,7,0,0,0,0,0,0,0,0,2,1,11,0,4.1,11
00-0035040,D.Blough,QB,DET,2019,24.09,5,94,174,984,4,6,8,31,0,1,1,19,1,55.36,50
00-0035040,D.Blough,QB,DET,2020,25.09,1,6,10,49,0,1,1,18,0,0,0,0,0,1.76,18
00-0035040,D.Blough,QB,DET,2021,26.09,1,0,0,0,0,0,1,6,0,0,0,0,0,0.6000000000000001,6
00-0035040,D.Blough,QB,ARI,2022,27.09,2,38,58,402,2,2,4,5,0,0,0,0,0,18.58,5
00-0035045,D.Montgomery,WR,NYJ,2021,24.79,2,0,0,0,0,0,0,0,0,6,3,36,0,6.6,36
00-0035045,D.Montgomery,WR,IND,2023,26.79,2,0,0,0,0,0,0,0,0,8,3,56,1,14.600000000000001,56
00-0035100,J.Browning,QB,CIN,2023,27.39,9,171,243,1936,12,7,27,127,3,1,1,-7,0,144.44,120
00-0035100,J.Browning,QB,CIN,2024,28.39,2,0,0,0,0,0,2,-2,0,0,0,0,0,-0.2,-2
00-0035100,J.Browning,QB,CIN,2025,29.39,5,81,125,771,6,8,9,39,1,0,0,0,0,48.74,39
00-0035101,D.Davis,WR,HOU,2021,24.86,2,0,0,0,0,0,0,0,0,3,1,17,0,2.7,17
