player_id,player_name,position,team,season,age_sept1,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,ppr_points,scrimmage_yards,birth_date
00-0032436,J.Driskel,QB,DET,2019,26.36,3,62,105,685.0,4,4.0,22,151.0,1,1,1,6.0,0,58.1,157.0,1993-04-23
00-0032436,J.Driskel,QB,DEN,2020,27.36,3,35,64,432.0,3,2.0,6,28.0,0,0,0,0.0,0,30.08,28.0,1993-04-23
00-0032436,J.Driskel,QB,HOU,2022,29.36,7,14,20,108.0,1,0.0,20,75.0,0,1,1,4.0,0,17.22,79.0,1993-04-23
00-0032436,J.Driskel,QB,CLE,2023,30.36,1,13,26,166.0,2,2.0,7,33.0,0,0,0,0.0,0,13.94,33.0,1993-04-23
00-0036226,J.Eason,QB,IND,2021,23.79,1,2,5,25.0,0,1.0,0,0.0,0,0,0,0.0,0,-1.0,0.0,1997-11-17
00-0036226,J.Eason,QB,CAR,2022,24.79,1,3,5,59.0,0,1.0,0,0.0,0,0,0,0.0,0,0.36,0.0,1997-11-17
00-0036945,J.Fields,QB,CHI,2021,22.49,12,159,270,1870.0,7,10.0,72,420.0,2,0,0,0.0,0,126.8,420.0,1999-03-05
00-0036945,J.Fields,QB,CHI,2022,23.49,15,192,318,2242.0,17,11.0,160,1143.0,8,0,0,0.0,0,295.98,1143.0,1999-03-05
00-0036945,J.Fields,QB,CHI,2023,24.49,13,227,370,2562.0,16,9.0,124,657.0,4,0,0,0.0,0,230.18,657.0,1999-03-05
00-0036945,J.Fields,QB,PIT,2024,25.49,11,106,162,1106.0,5,1.0,62,289.0,5,0,0,0.0,0,119.14,289.0,1999-03-05
00-0026158,J.Flacco,QB,DEN,2019,34.63,8,171,262,1822.0,6,5.0,12,20.0,0,0,0,0.0,0,84.880005,20.0,1985-01-16
00-0026158,J.Flacco,QB,NYJ,2020,35.63,5,74,134,864.0,6,3.0,6,22.0,0,0,0,0.0,0,54.760002,22.0,1985-01-16
